TF	cluster
ELF4	3
EOMES	3
ESR2	3
ETV1	3
ETV7	3
FBXL19	3
FERD3L	3
FOXB1	3
FOXC1	3
FOXD4	3
FOXD4L1	3
FOXD4L3	3
FOXD4L4	3
FOXD4L5	3
FOXD4L6	3
FOXF2	3
FOXJ3	3
FOXK2	3
FOXN1	3
FOXN2	3
FOXN3	3
FOXN4	3
FOXO3	3
FOXO4	3
FOXP1	3
FOXP2	3
FOXP4	3
FOXR2	3
GRHL1	3
GRHL2	3
GSC	3
HBP1	3
HIF1A	3
HINFP	3
HMX2	3
HMX3	3
HOXA4	3
HOXA9	3
HOXB6	3
HOXB7	3
HOXC6	3
HOXC9	3
HOXD10	3
HOXD13	3
HOXD9	3
HSF5	3
IKZF2	3
IRF1	3
IRF2	3
IRF3	3
IRF4	3
IRF5	3
IRF6	3
IRF7	3
IRF8	3
IRF9	3
IRX2	3
IRX5	3
IRX6	3
JRKL	3
KDM2B	3
LIN28A	3
LIN54	3
MECP2	3
MEF2D	3
MEIS1	3
MEIS2	3
MEIS3	3
MESP1	3
MGA	3
MLX	3
MTF1	3
MYF5	3
MYF6	3
MYOD1	3
MYOG	3
NANOG	3
NANOGP8	3
NFATC1	3
NFATC2	3
NFATC3	3
NFATC4	3
NFKB1	3
NHLH2	3
NKX22	3
NKX63	3
NR1H3	3
NR1I2	3
NR3C1	3
ONECUT1	3
ONECUT2	3
ONECUT3	3
OTX1	3
PBX1	3
PBX2	3
PBX3	3
PGR	3
PITX1	3
PITX2	3
PKNOX1	3
PKNOX2	3
PLAGL2	3
POGK	3
PPARG	3
PTF1A	3
RBPJ	3
RELA	3
RELB	3
REST	3
SIX2	3
SIX3	3
SIX5	3
SIX6	3
SMAD4	3
SOX1	3
SOX10	3
SOX12	3
SOX18	3
SOX21	3
SOX30	3
SOX7	3
SOX8	3
T	3
TBPL2	3
TBR1	3
TBX1	3
TBX15	3
TBX18	3
TBX19	3
TBX20	3
TBX21	3
TBX22	3
TBX3	3
TBX4	3
TBX5	3
TBX6	3
TCF21	3
TCF7L1	3
TERF2	3
TFAP4	3
TFCP2	3
TFCP2L1	3
TFDP1	3
TFDP2	3
TFDP3	3
TGIF1	3
TGIF2	3
TGIF2LX	3
TGIF2LY	3
THAP12	3
TIGD1	3
TIGD2	3
TLX1	3
TLX3	3
TOPORS	3
TP73	3
TWIST1	3
UBP1	3
ZBTB20	3
ZBTB22	3
ZBTB32	3
ZBTB49	3
ZFP57	3
ZFP82	3
ZIK1	3
ZIM3	3
ZKSCAN5	3
ZNF114	3
ZNF141	3
ZNF157	3
ZNF177	3
ZNF2	3
ZNF200	3
ZNF214	3
ZNF23	3
ZNF25	3
ZNF26	3
ZNF273	3
ZNF274	3
ZNF285	3
ZNF317	3
ZNF32	3
ZNF354A	3
ZNF382	3
ZNF384	3
ZNF416	3
ZNF417	3
ZNF44	3
ZNF487	3
ZNF492	3
ZNF501	3
ZNF528	3
ZNF549	3
ZNF555	3
ZNF561	3
ZNF562	3
ZNF565	3
ZNF570	3
ZNF573	3
ZNF574	3
ZNF582	3
ZNF652	3
ZNF653	3
ZNF674	3
ZNF677	3
ZNF716	3
ZNF730	3
ZNF736	3
ZNF768	3
ZNF77	3
ZNF780A	3
ZNF782	3
ZNF784	3
ZNF793	3
ZNF808	3
ZNF846	3
ZSCAN29	3
ZZZ3	3
AIRE	4
ARID3A	4
ARID5B	4
BACH1	4
BACH2	4
BATF	4
BHLHE23	4
BORCS8MEF2B	4
BPTF	4
CREBZF	4
CRX	4
DLX6	4
DMRT3	4
DMRTB1	4
DMRTC2	4
EGR1	4
EGR2	4
EGR3	4
EGR4	4
EHF	4
ELF1	4
ELF5	4
ELK1	4
ELK3	4
ELK4	4
EN1	4
ERF	4
ERG	4
ESX1	4
ETS1	4
ETS2	4
ETV2	4
ETV3	4
ETV3L	4
ETV4	4
ETV5	4
ETV6	4
FEV	4
FIGLA	4
FLI1	4
FOSL1	4
FOXA1	4
FOXA2	4
FOXA3	4
FOXB2	4
FOXC2	4
FOXD1	4
FOXD3	4
FOXE1	4
FOXE3	4
FOXF1	4
FOXG1	4
FOXH1	4
FOXI1	4
FOXI2	4
FOXI3	4
FOXJ1	4
FOXK1	4
FOXL1	4
FOXL2	4
FOXM1	4
FOXO1	4
FOXO6	4
FOXP3	4
FOXQ1	4
FOXR1	4
FOXS1	4
GATA1	4
GATA2	4
GATA3	4
GATA4	4
GATA5	4
GATA6	4
GCM1	4
GCM2	4
GLI2	4
GLI4	4
GLIS2	4
GTF3A	4
HAND1	4
HAND2	4
HES2	4
HES4	4
HES7	4
HEY2	4
HEYL	4
HIC1	4
HMGA1	4
HMGA2	4
HOXB8	4
HOXC8	4
HOXD1	4
HOXD12	4
HOXD8	4
IRX1	4
IRX3	4
ISL1	4
ISL2	4
JDP2	4
KLF1	4
KLF10	4
KLF11	4
KLF12	4
KLF13	4
KLF14	4
KLF15	4
KLF16	4
KLF2	4
KLF3	4
KLF4	4
KLF5	4
KLF6	4
KLF7	4
KLF9	4
KMT2A	4
LHX1	4
LMX1B	4
MAF	4
MAFA	4
MAFB	4
MAFF	4
MAFG	4
MAFK	4
MBNL2	4
MLXIP	4
MNX1	4
MSANTD3	4
MSX1	4
MTF2	4
MXD1	4
MXI1	4
MYC	4
NEUROD2	4
NEUROD6	4
NEUROG1	4
NEUROG2	4
NEUROG3	4
NFAT5	4
NFE2	4
NFE2L1	4
NFE2L2	4
NFE2L3	4
NKX12	4
NKX61	4
NKX62	4
NPAS2	4
NRL	4
OLIG1	4
OLIG2	4
OTX2	4
OVOL1	4
OVOL2	4
PAX1	4
PAX5	4
PAX8	4
PAX9	4
PHOX2B	4
POU1F1	4
POU2F1	4
POU2F2	4
POU2F3	4
POU3F1	4
POU3F2	4
POU3F3	4
POU3F4	4
POU4F1	4
POU4F2	4
POU4F3	4
POU5F1	4
POU5F1B	4
PRDM5	4
