groupID	cellType	UMAP1	UMAP2	Pseudotime	color	MyeloidProbs	ErythroidProbs	BLymphoidProbs	TLymphoidProbs
32	CD4	7.28609212608452	0.127065734852319	0.974042801826696	#005F9F	0	0	0	0.998180788954727
33	NK	3.91532882423515	-9.83974037886762	0.999230391778829	#492264	0	0	0	0.999382213022098
34	GMP	-10.697416460799	2.28016533135272	0.345773395346649	#FAA31B	0.998086293344004	0	0	0
35	CD8	4.73482831688042	-3.67545543433332	0.983986364915358	#1481C4	0	0	0	0.998784989577856
36	MemoryB	3.89525088043327	9.5005172657857	0.87288423328894	#B280B9	0	0	0.994137481061876	0
37	NK	3.37008269996758	-8.81507740737104	0.99830416078932	#492264	0	0	0	0.999363049760657
38	NaiveB	4.66251405449028	10.9738105702291	0.87761889633804	#A896C8	0	0	0.995383247239459	0
39	CD14mono	-8.99033657340889	1.60959436177111	0.394151797296485	#F28238	0.999861256378719	0	0	0
40	CD8	4.34734042854424	-2.30754361869001	0.973222683237691	#1481C4	0	0	0	0.998051300146702
41	CD16mono	-8.11012760429268	4.72965325592852	0.37310353534045	#F26625	0.999406317362261	0	0	0
42	late-Ery	-6.12353435783272	-12.4944263529887	0.883965112194606	#901838	0	0.999999999999118	0	0
43	CD14mono	-9.46898571281319	0.470360772598748	0.39302943880597	#F28238	0.999856235119011	0	0	0
44	early-Ery	-5.18075529365425	-5.81553326369428	0.66130402700632	#CC1F39	0	0.999999999998184	0	0
45	early-Ery	-7.86994901924019	-8.51705418349409	0.853646528330527	#CC1F39	0	0.999999999999699	0	0
46	CD8	4.30450996132011	-3.78564606429243	0.972305860603678	#1481C4	0	0	0	0.99775891107329
47	CD14mono	-10.8523427608479	-0.0469370317568732	0.38802383220303	#F28238	0.999826585844085	0	0	0
48	CD14mono	-8.18257538108711	-0.0480764341463996	0.399808455650448	#F28238	0.999892211295524	0	0	0
49	pDC	-2.67754117278938	3.21736611603594	0.0570752414385526	#854199	0.864139886460512	0.0776811437811189	0.0545335913654289	0
50	NK	4.41819986076469	-9.97808514357709	0.995461085644646	#492264	0	0	0	0.999302597236162
51	CD14mono	-10.4128114345539	-1.13537154914045	0.399141571444947	#F28238	0.999889958147082	0	0	0
52	CD14mono	-10.6834155681599	0.13825790761805	0.396566629544862	#F28238	0.999879079542534	0	0	0
53	CD16mono	-8.33653274803047	5.15175379990435	0.372492681911951	#F26625	0.999381577028208	0	0	0
54	early-Ery	-6.03699890403633	-5.68603430510664	0.695617725057831	#CC1F39	0	0.999999999999499	0	0
55	pro/pre-B	-2.10086170463448	11.0557264256368	0.734363086755826	#A896C8	0	0	0.983122019605523	0.0168415433360681
56	early-Ery	-5.93158355979805	-6.21848736525678	0.607292162775198	#CC1F39	0	0.999999999959624	0	0
57	CD8	3.47158488006706	-5.01134882689619	0.987339677584202	#1481C4	0	0	0	0.998994009420732
58	NK	3.86554154129143	-8.90729199172162	0.998466427884893	#492264	0	0	0	0.999366842970324
59	late-Ery	-6.34375873832588	-11.1978956294169	0.91230222923322	#901838	0	0.999999999999686	0	0
60	early-Ery	-5.81849495200996	-5.15768967391157	0.60782673691825	#CC1F39	0	0.999999999958249	0	0
61	NaiveB	4.82021554679985	11.0462593006978	0.87792357822251	#A896C8	0	0	0.995490518987599	0
62	MemoryB	4.17705854148979	9.28503741501666	0.874430948224473	#B280B9	0	0	0.994353286271184	0
63	late-Ery	-5.87271562843208	-12.4033027720561	0.813660157947543	#901838	0	0.999999999995123	0	0
64	GMP	-5.57288471488838	3.13929547547198	0.137084173566918	#FAA31B	0.9403470025589	0	0.0275277956082008	0.0265110466113698
65	CD8	6.44593890876885	-1.1190694403758	0.980447611529824	#1481C4	0	0	0	0.998600033195601
66	NK	4.46114047737236	-7.52066956282758	0.996066515188119	#492264	0	0	0	0.99931031590725
67	pDC	-2.77436629562263	4.79323186158038	0.183557465691851	#854199	0.975713171343155	0.0113970272315401	0.0101013262688487	0
68	CD14mono	-11.5847188594807	-0.021312935363288	0.389615553025353	#F28238	0.999842297597137	0	0	0
69	NK	3.14939149589653	-8.61329327345991	0.988836831220663	#492264	0	0	0	0.999091873066172
70	CD8	4.71227821083183	-2.82690678359174	0.98259673020066	#1481C4	0	0	0	0.998748410864037
71	CD4	8.714240872575	0.36930866717196	0.977441192008086	#005F9F	0	0	0	0.998477103568486
72	pro/pre-B	-2.33314958839302	10.2840637135396	0.724282790920593	#A896C8	0	0	0.981154250603479	0.0188050637404606
73	CD16mono	-9.04567924766426	5.6746944355855	0.363895592578187	#F26625	0.999108354923017	0	0	0
